Source,Target,Type,Id,Label,Weight
S5034,S5025,Undirected,115,,13
S5034,S5018,Undirected,116,,11
S5034,G1050,Undirected,117,,9
S5034,S5032,Undirected,118,,13
S5034,N6009,Undirected,119,,8
S5034,S5014,Undirected,120,,11
S5034,G1027,Undirected,121,,5
S5034,B1740,Undirected,122,,6
S5034,B1732,Undirected,123,,4
S5034,S5047,Undirected,124,,4
S5034,S5040,Undirected,125,,9
S5034,B1739,Undirected,126,,5
S5034,B1778,Undirected,127,,5
S5034,G1064,Undirected,128,,10
S5034,V9022,Undirected,129,,8
S5034,B1795,Undirected,130,,7
S5034,G1030,Undirected,131,,8
S5034,V9012,Undirected,132,,10
S5034,G1017,Undirected,133,,12
S5034,S5026,Undirected,134,,7
S5034,S5011,Undirected,135,,8
S5034,B1742,Undirected,136,,3
S5034,B1734,Undirected,137,,6
S5034,V9002,Undirected,138,,4
S5034,V9019,Undirected,139,,8
S5034,B1737,Undirected,140,,9
S5034,V9014,Undirected,141,,10
S5034,S5004,Undirected,142,,9
S5034,S5049,Undirected,143,,13
S5034,V9026,Undirected,144,,9
S5034,S5042,Undirected,145,,10
S5034,S5029,Undirected,146,,7
S5034,B1790,Undirected,147,,6
S5034,S5008,Undirected,148,,9
S5034,N6003,Undirected,149,,16
S5034,G1065,Undirected,150,,9
S5034,S5022,Undirected,151,,5
S5034,S5012,Undirected,152,,7
S5034,S5038,Undirected,153,,13
S5034,S5039,Undirected,154,,10
S5034,B1787,Undirected,155,,6
S5034,V9016,Undirected,156,,7
S5034,G1063,Undirected,157,,7
S5034,S5020,Undirected,158,,11
S5034,G1021,Undirected,159,,9
S5034,G1051,Undirected,160,,12
S5034,S5048,Undirected,161,,5
S5034,G1039,Undirected,162,,11
S5034,B1738,Undirected,163,,11
S5034,V9015,Undirected,164,,8
S5034,B1788,Undirected,165,,9
S5034,S5023,Undirected,166,,13
S5034,S5031,Undirected,167,,10
B1743,G1026,Undirected,168,,22
B1743,G1024,Undirected,169,,20
B1743,G1055,Undirected,170,,26
B1743,S5030,Undirected,171,,28
B1743,N6007,Undirected,172,,29
B1743,S5028,Undirected,173,,23
B1743,M1203,Undirected,174,,27
B1743,G1067,Undirected,175,,21
B1743,V9021,Undirected,176,,31
B1743,B1741,Undirected,177,,17
B1743,N6008,Undirected,178,,32
B1743,B1794,Undirected,179,,33
B1743,M1201,Undirected,180,,32
B1743,V9023,Undirected,181,,27
B1743,S5013,Undirected,182,,19
B1743,S5021,Undirected,183,,14
B1743,S5001,Undirected,184,,21
B1743,G1028,Undirected,185,,18
B1743,B1730,Undirected,186,,23
B1743,S5035,Undirected,187,,36
B1743,V9020,Undirected,188,,33
B1743,M1208,Undirected,189,,33
B1743,B1785,Undirected,190,,29
B1743,S5033,Undirected,191,,21
B1743,B1733,Undirected,192,,36
B1743,G1023,Undirected,193,,24
B1743,B1781,Undirected,194,,18
B1743,V9024,Undirected,195,,25
B1743,G1031,Undirected,196,,19
B1743,V9003,Undirected,197,,28
B1743,S5037,Undirected,198,,36
B1743,B1791,Undirected,199,,15
B1743,S5010,Undirected,200,,22
B1743,G1025,Undirected,201,,29
B1743,S5044,Undirected,202,,44
B1743,S5003,Undirected,203,,21
B1743,B1784,Undirected,204,,42
B1743,S5045,Undirected,205,,32
B1743,S5043,Undirected,206,,35
B1743,B1777,Undirected,207,,25
B1743,S5024,Undirected,208,,34
B1743,G1032,Undirected,209,,26
B1743,N6004,Undirected,210,,33
B1743,B1780,Undirected,211,,19
B1743,B1782,Undirected,212,,33
B1743,S5041,Undirected,213,,18
B1743,G1019,Undirected,214,,28
B1743,S5016,Undirected,215,,20
B1743,V9013,Undirected,216,,18
B1743,B1786,Undirected,217,,17
B1743,B1792,Undirected,218,,27
B1743,S5009,Undirected,219,,24
B1743,B1776,Undirected,220,,35
B1743,G1033,Undirected,221,,34
B1743,B1727,Undirected,222,,27
B1743,V9008,Undirected,223,,25
B1743,M1207,Undirected,224,,29
B1743,G1068,Undirected,225,,19
B1743,V9010,Undirected,226,,34
B1743,S5005,Undirected,227,,14
B1743,S5006,Undirected,228,,17
B1743,S5050,Undirected,229,,17
B1743,B1779,Undirected,230,,16
B1743,G1062,Undirected,231,,13
B1743,G1056,Undirected,232,,17
B1743,M1204,Undirected,233,,30
B1743,S5046,Undirected,234,,21
B1743,G1029,Undirected,235,,17
B1743,V9018,Undirected,236,,18
B1743,G1034,Undirected,237,,18
B1743,V9025,Undirected,238,,26
B1743,S5002,Undirected,239,,22
B1743,G1060,Undirected,240,,20
B1743,S5036,Undirected,241,,33
B1743,B1729,Undirected,242,,28
B1743,G1022,Undirected,243,,25
B1743,B1731,Undirected,244,,30
B1743,N6005,Undirected,245,,28
B1743,B1783,Undirected,246,,33
B1743,V9006,Undirected,247,,25
B1743,V9004,Undirected,248,,28
B1743,V9009,Undirected,249,,28
B1743,V9005,Undirected,250,,27
B1743,B1728,Undirected,251,,29
B1743,M1202,Undirected,252,,25
B1743,G1058,Undirected,253,,20
B1743,V9017,Undirected,254,,15
B1743,G1053,Undirected,255,,18
B1743,M1206,Undirected,256,,27
B1743,V9027,Undirected,257,,25
B1743,G1018,Undirected,258,,29
B1743,G1054,Undirected,259,,22
B1743,S5017,Undirected,260,,16
B1743,S5007,Undirected,261,,16
B1743,G1059,Undirected,262,,23
B1743,B1789,Undirected,263,,20
B1743,S5019,Undirected,264,,19
B1743,N6002,Undirected,265,,33
B1743,N6006,Undirected,266,,29
B1743,S5031,Undirected,267,,7
B1743,N6003,Undirected,268,,19
B1743,B1795,Undirected,269,,27
B1743,S5008,Undirected,270,,28
B1743,V9015,Undirected,271,,31
B1743,G1030,Undirected,272,,24
B1743,V9016,Undirected,273,,30
B1743,G1065,Undirected,274,,20
B1743,B1738,Undirected,275,,29
B1743,S5011,Undirected,276,,32
B1743,G1021,Undirected,277,,28
B1743,S5048,Undirected,278,,26
B1743,S5049,Undirected,279,,26
B1743,B1734,Undirected,280,,24
B1743,V9026,Undirected,281,,28
B1743,S5020,Undirected,282,,27
B1743,G1017,Undirected,283,,29
B1743,G1039,Undirected,284,,26
B1743,B1787,Undirected,285,,19
B1743,V9002,Undirected,286,,32
B1743,G1063,Undirected,287,,20
B1743,S5026,Undirected,288,,21
B1743,V9014,Undirected,289,,21
B1743,V9019,Undirected,290,,15
B1743,B1742,Undirected,291,,18
B1743,S5023,Undirected,292,,4
B1743,B1739,Undirected,293,,37
B1743,B1778,Undirected,294,,33
B1743,B1788,Undirected,295,,19
B1743,S5015,Undirected,296,,24
B1743,S5022,Undirected,297,,20
B1743,S5012,Undirected,298,,22
B1743,V9001,Undirected,299,,27
B1743,G1051,Undirected,300,,19
B1743,B1732,Undirected,301,,12
B1743,V9007,Undirected,302,,12
B1743,B1793,Undirected,303,,22
B1743,B1790,Undirected,304,,24
B1743,B1735,Undirected,305,,25
B1743,G1020,Undirected,306,,25
B1743,S5032,Undirected,307,,24
B1743,G1052,Undirected,308,,29
B1743,S5018,Undirected,309,,22
B1743,N6009,Undirected,310,,25
B1743,V9022,Undirected,311,,21
B1743,G1057,Undirected,312,,41
B1743,S5038,Undirected,313,,21
B1743,S5039,Undirected,314,,24
B1743,B1737,Undirected,315,,19
B1743,G1027,Undirected,316,,28
B1743,S5025,Undirected,317,,29
B1743,M1205,Undirected,318,,31
B1743,N6001,Undirected,319,,23
B1743,S5029,Undirected,320,,29
B1743,G1061,Undirected,321,,23
B1743,S5004,Undirected,322,,27
B1743,S5014,Undirected,323,,24
B1743,B1740,Undirected,324,,20
B1743,S5047,Undirected,325,,19
B1743,V9012,Undirected,326,,24
B1743,V9011,Undirected,327,,23
B1743,G1064,Undirected,328,,35
B1743,B1736,Undirected,329,,34
B1743,G1066,Undirected,330,,22
B1743,G1050,Undirected,331,,16
B1743,S5040,Undirected,332,,25
B1743,S5042,Undirected,333,,30
B1743,S5027,Undirected,334,,24
G1026,G1024,Undirected,335,,23
G1026,G1055,Undirected,336,,30
G1026,S5030,Undirected,337,,27
G1026,N6007,Undirected,338,,32
G1026,S5028,Undirected,339,,25
G1026,M1203,Undirected,340,,28
G1026,G1067,Undirected,341,,22
G1026,V9021,Undirected,342,,32
G1026,B1741,Undirected,343,,19
G1026,N6008,Undirected,344,,33
G1026,B1794,Undirected,345,,28
G1026,M1201,Undirected,346,,33
G1026,V9023,Undirected,347,,30
G1026,S5013,Undirected,348,,23
G1026,S5021,Undirected,349,,22
G1026,S5001,Undirected,350,,29
G1026,G1028,Undirected,351,,19
G1026,B1730,Undirected,352,,32
G1026,S5035,Undirected,353,,32
G1026,V9020,Undirected,354,,27
G1026,M1208,Undirected,355,,29
G1026,B1785,Undirected,356,,33
G1026,S5033,Undirected,357,,26
G1026,B1733,Undirected,358,,31
G1026,G1023,Undirected,359,,26
G1026,B1781,Undirected,360,,23
G1026,V9024,Undirected,361,,25
G1026,G1031,Undirected,362,,24
G1026,V9003,Undirected,363,,34
G1026,S5037,Undirected,364,,24
G1026,B1791,Undirected,365,,25
G1026,S5010,Undirected,366,,22
G1026,G1025,Undirected,367,,20
G1026,S5044,Undirected,368,,37
G1026,S5003,Undirected,369,,23
G1026,B1784,Undirected,370,,27
G1026,S5045,Undirected,371,,33
G1026,S5043,Undirected,372,,32
G1026,B1777,Undirected,373,,17
G1026,S5024,Undirected,374,,32
G1026,G1032,Undirected,375,,18
G1026,N6004,Undirected,376,,35
G1026,B1780,Undirected,377,,23
G1026,B1782,Undirected,378,,28
G1026,S5041,Undirected,379,,30
G1026,G1019,Undirected,380,,32
G1026,S5016,Undirected,381,,27
G1026,V9013,Undirected,382,,25
G1026,B1786,Undirected,383,,17
G1026,B1792,Undirected,384,,27
G1026,S5009,Undirected,385,,22
G1026,B1776,Undirected,386,,34
G1026,G1033,Undirected,387,,34
G1026,B1727,Undirected,388,,30
G1026,V9008,Undirected,389,,34
G1026,M1207,Undirected,390,,32
G1026,G1068,Undirected,391,,28
G1026,V9010,Undirected,392,,22
G1026,S5005,Undirected,393,,22
G1026,S5006,Undirected,394,,25
G1026,S5050,Undirected,395,,26
G1026,B1779,Undirected,396,,20
G1026,G1062,Undirected,397,,26
G1026,G1056,Undirected,398,,22
G1026,M1204,Undirected,399,,22
G1026,S5046,Undirected,400,,25
G1026,G1029,Undirected,401,,23
G1026,V9018,Undirected,402,,28
G1026,G1034,Undirected,403,,18
G1026,V9025,Undirected,404,,27
G1026,S5002,Undirected,405,,26
G1026,G1060,Undirected,406,,26
G1026,S5036,Undirected,407,,32
G1026,B1729,Undirected,408,,26
G1026,G1022,Undirected,409,,26
G1026,B1731,Undirected,410,,31
G1026,N6005,Undirected,411,,25
G1026,B1783,Undirected,412,,32
G1026,V9006,Undirected,413,,27
G1026,V9004,Undirected,414,,26
G1026,V9009,Undirected,415,,25
G1026,V9005,Undirected,416,,26
G1026,B1728,Undirected,417,,28
G1026,M1202,Undirected,418,,30
G1026,G1058,Undirected,419,,26
G1026,V9017,Undirected,420,,23
G1026,G1053,Undirected,421,,33
G1026,M1206,Undirected,422,,25
G1026,V9027,Undirected,423,,23
G1026,G1018,Undirected,424,,25
G1026,G1054,Undirected,425,,29
G1026,S5017,Undirected,426,,29
G1026,S5007,Undirected,427,,23
G1026,G1059,Undirected,428,,24
G1026,B1789,Undirected,429,,24
G1026,S5019,Undirected,430,,27
G1026,N6002,Undirected,431,,31
G1026,N6006,Undirected,432,,28
G1026,M1205,Undirected,433,,21
G1026,G1020,Undirected,434,,18
G1026,B1735,Undirected,435,,21
G1026,S5015,Undirected,436,,19
G1026,V9007,Undirected,437,,18
G1026,B1793,Undirected,438,,21
G1026,S5027,Undirected,439,,12
G1026,B1736,Undirected,440,,20
G1026,G1052,Undirected,441,,27
G1026,V9011,Undirected,442,,26
G1026,G1057,Undirected,443,,26
G1026,V9001,Undirected,444,,23
