date,현재수요(MW),전체지역_기온(°C)_가중평균,전체지역_누적강수량(mm)_가중평균,전체지역_풍향(deg)_가중평균,전체지역_풍속(m/s)_가중평균,전체지역_현지기압(hPa)_가중평균,전체지역_습도(%)_가중평균,전체지역_일조(Sec)_가중평균
2023-03-19 23:55:00,57577.41015625,5.094405651092529,0.0179046802222728,224.74693298339844,1.4699796438217163,1011.3378295898438,74.64471435546875,37722.8125
2023-03-20 00:00:00,57505.65625,5.117711544036865,0.0383598022162914,223.35589599609372,1.4981034994125366,1011.42236328125,74.85787963867188,35033.171875
2023-03-20 00:05:00,57342.44921875,4.953214168548584,-0.010105806402862,226.4885406494141,1.4466654062271118,1011.4541015625,74.54808807373047,30433.005859375
2023-03-20 00:10:00,57375.3828125,4.904011249542236,0.0348042659461498,225.0283966064453,1.4212957620620728,1011.4275512695312,75.28257751464844,27779.328125
2023-03-20 00:15:00,56892.6171875,4.844028949737549,0.007124584633857,222.6605529785156,1.415351629257202,1011.4534301757812,74.8714828491211,26761.044921875
2023-03-20 00:20:00,56977.89453125,5.006255626678467,0.0633610934019088,223.5412750244141,1.3791108131408691,1011.342529296875,75.5505599975586,25626.25390625
2023-03-20 00:25:00,56757.91796875,4.814960956573486,0.0337593965232372,221.1998748779297,1.3447840213775637,1011.3699340820312,75.50389862060547,25719.09765625
2023-03-20 00:30:00,56496.140625,4.626835346221924,0.0090398015454411,217.14987182617188,1.3028210401535034,1011.61083984375,75.28749084472656,24725.583984375
2023-03-20 00:35:00,56103.08203125,4.593344211578369,-0.0094551621004939,219.48226928710935,1.3039841651916504,1011.5874633789062,75.05046081542969,24269.71484375
2023-03-20 00:40:00,56092.51171875,4.604543209075928,0.0298575572669506,216.4292755126953,1.303085207939148,1011.538330078125,75.63516998291016,23884.3203125
2023-03-20 00:45:00,56110.08203125,4.786523342132568,0.0932125300168991,215.1209259033203,1.2766464948654177,1011.4754638671876,75.78881072998047,23166.568359375
2023-03-20 00:50:00,55863.50390625,4.715026378631592,0.1092802733182907,222.48963928222656,1.329004168510437,1011.342041015625,76.9534683227539,23494.033203125
2023-03-20 00:55:00,55682.35546875,4.530869960784912,0.0674177855253219,221.82687377929688,1.271147608757019,1011.5922241210938,76.0965347290039,23027.705078125
2023-03-20 01:00:00,55540.796875,4.416322231292725,0.0925100296735763,221.49029541015625,1.231510877609253,1011.5484008789062,76.91805267333984,22445.244140625
2023-03-20 01:05:00,55333.15625,4.428634166717529,0.0963937491178512,217.73989868164065,1.2659119367599487,1011.5667114257812,77.02680206298828,22183.623046875
2023-03-20 01:10:00,55297.4921875,4.388646602630615,0.0686958283185958,217.56588745117188,1.306868076324463,1011.6218872070312,76.21827697753906,22100.455078125
2023-03-20 01:15:00,55115.50390625,4.441133975982666,0.0967728346586227,218.1632232666016,1.340803623199463,1011.587158203125,76.94508361816406,21953.40234375
2023-03-20 01:20:00,54841.55859375,4.324316501617432,0.0682672709226608,215.2542724609375,1.3833023309707642,1011.6611938476562,76.60000610351562,21509.001953125
2023-03-20 01:25:00,54760.58984375,4.28558874130249,0.0656903237104415,216.7476806640625,1.3477085828781128,1011.7122802734376,76.551025390625,21363.294921875
2023-03-20 01:30:00,54540.70703125,4.195444583892822,0.0452572517096996,218.65843200683597,1.369967699050903,1011.803466796875,76.01951599121094,21229.8125
2023-03-20 01:35:00,54703.50390625,4.455898761749268,0.1203591078519821,220.7921142578125,1.3586221933364868,1011.5748901367188,76.86665344238281,21178.564453125
2023-03-20 01:40:00,54278.21484375,4.054134845733643,0.0518056564033031,214.67698669433597,1.274778962135315,1011.7550048828124,76.70674896240234,20855.583984375
2023-03-20 01:45:00,54343.3828125,4.038560390472412,0.0609676055610179,211.8360595703125,1.3012250661849976,1011.7294921875,77.22599792480469,20738.45703125
2023-03-20 01:50:00,54445.12109375,4.176223278045654,0.1009284704923629,207.30332946777344,1.293621301651001,1011.68212890625,77.412353515625,20458.43359375
2023-03-20 01:55:00,53810.54296875,3.9454245567321777,0.0469048433005809,211.8680877685547,1.3296968936920166,1011.8499755859376,76.89907836914062,20526.84765625
2023-03-20 02:00:00,54005.29296875,4.118083477020264,0.112873837351799,211.20921325683597,1.32234787940979,1011.6826171875,77.44019317626953,20198.470703125
2023-03-20 02:05:00,54027.625,3.960843563079834,0.0541181974112987,206.23590087890625,1.2516417503356934,1011.884765625,76.484130859375,19837.013671875
2023-03-20 02:10:00,54082.74609375,3.974029064178467,0.0753739327192306,206.0359344482422,1.2284724712371826,1011.8549194335938,76.7743148803711,19596.607421875
2023-03-20 02:15:00,53738.2265625,3.819627285003662,0.0575807504355907,205.8979339599609,1.237500548362732,1011.9624633789062,76.9533920288086,19391.115234375
2023-03-20 02:20:00,53715.8125,3.892116069793701,0.0692438334226608,206.597900390625,1.2403912544250488,1011.8919677734376,76.9661636352539,19402.056640625
2023-03-20 02:25:00,53582.44921875,3.8922505378723145,0.0872047394514083,201.35525512695312,1.2780309915542605,1011.8822631835938,77.08381652832031,19164.8359375
2023-03-20 02:30:00,53629.04296875,3.918355464935303,0.1144782751798629,203.0806121826172,1.2775498628616333,1011.900390625,77.28431701660156,19056.177734375
2023-03-20 02:35:00,53824.859375,3.854979038238525,0.1178629845380783,199.05931091308597,1.2979708909988403,1011.9440307617188,77.25508117675781,18835.7890625
2023-03-20 02:40:00,53757.64453125,3.96979570388794,0.159244105219841,198.94744873046875,1.3108688592910769,1011.837646484375,77.67619323730469,18815.470703125
2023-03-20 02:45:00,53640.15625,3.9944911003112793,0.152685210108757,194.6630401611328,1.2698575258255005,1011.8650512695312,77.21333312988281,18821.326171875
2023-03-20 02:50:00,53362.203125,3.7676615715026855,0.1200973242521286,193.91123962402344,1.2817764282226562,1011.9954223632812,77.04884338378906,18348.763671875
2023-03-20 02:55:00,53424.59765625,3.777451038360596,0.1326139420270919,196.08480834960935,1.244072675704956,1011.934326171875,77.0922622680664,18405.51171875
2023-03-20 03:00:00,53312.12109375,3.798825740814209,0.149574801325798,200.7176971435547,1.1814634799957275,1011.856689453125,77.37937927246094,18683.47265625
2023-03-20 03:05:00,53148.43359375,3.745151042938232,0.1133144348859787,198.74436950683597,1.1983153820037842,1011.9244384765624,76.60967254638672,18269.0703125
2023-03-20 03:10:00,52918.1640625,3.5116257667541504,0.0756590813398361,198.08380126953125,1.188898682594299,1012.07421875,76.39031982421875,17979.68359375
2023-03-20 03:15:00,52965.2578125,3.509817600250244,0.075853630900383,194.6613311767578,1.1869879961013794,1012.109619140625,76.30042266845703,17912.66796875
2023-03-20 03:20:00,52686.28515625,3.373176097869873,0.0549042634665966,193.9113311767578,1.1578599214553833,1012.2159423828124,76.10636901855469,17575.40234375
2023-03-20 03:25:00,52851.68359375,3.359778881072998,0.0679810494184494,194.14111328125,1.1873315572738647,1012.1736450195312,76.08134460449219,17528.947265625
2023-03-20 03:30:00,52893.0234375,3.346662998199463,0.0739329308271408,194.20913696289065,1.236614227294922,1012.1793212890624,76.00732421875,17626.978515625
2023-03-20 03:35:00,52791.55859375,3.2964119911193848,0.0767740458250045,195.6044006347656,1.25091290473938,1012.2068481445312,76.0619888305664,17223.390625
2023-03-20 03:40:00,53002.27734375,3.291089534759521,0.0792246311902999,199.04356384277344,1.2456567287445068,1012.1995849609376,75.79498291015625,17159.671875
2023-03-20 03:45:00,52809.1796875,3.207458019256592,0.0662593096494674,199.23971557617188,1.256716251373291,1012.23779296875,75.97627258300781,17369.955078125
2023-03-20 03:50:00,52861.078125,3.209035396575928,0.0730375498533248,197.52130126953125,1.2674278020858765,1012.3020629882812,75.5141372680664,16868.400390625
2023-03-20 03:55:00,52693.68359375,3.198659420013428,0.0432459525763988,196.5602569580078,1.270135521888733,1012.36669921875,74.75670623779297,17022.203125
2023-03-20 04:00:00,52682.80859375,3.0730347633361816,0.0427024774253368,192.92599487304688,1.2749381065368652,1012.414794921875,74.9338150024414,16754.6953125
2023-03-20 04:05:00,53682.92578125,3.449431896209717,0.1597757786512375,190.18170166015625,1.2618345022201538,1012.1840209960938,75.30768585205078,15696.162109375
2023-03-20 04:10:00,53701.75,3.418540477752685,0.1717611998319625,189.35806274414065,1.325350046157837,1012.2005004882812,75.60931396484375,15582.65234375
2023-03-20 04:15:00,53634.92578125,3.273276805877685,0.1556741446256637,184.99923706054688,1.325236678123474,1012.3251953125,75.69947052001953,15226.875
2023-03-20 04:20:00,54008.40625,3.333282947540283,0.177884504199028,185.51048278808597,1.3279683589935305,1012.3927001953124,75.55661010742188,14911.2705078125
2023-03-20 04:25:00,53781.41796875,3.1665701866149902,0.131299540400505,182.53700256347656,1.362993240356445,1012.4686889648438,75.15613555908203,14771.3583984375
2023-03-20 04:30:00,53718.47265625,3.0742831230163574,0.101791426539421,178.28109741210938,1.3460291624069214,1012.5910034179688,74.64973449707031,14845.1806640625
2023-03-20 04:35:00,53906.69140625,3.160123348236084,0.138803169131279,183.72039794921875,1.3667291402816772,1012.4663696289062,75.43978881835938,14784.642578125
2023-03-20 04:40:00,54136.171875,3.2142252922058105,0.1457318514585495,181.29087829589844,1.3260771036148071,1012.4998779296876,75.21509552001953,14984.619140625
2023-03-20 04:45:00,54027.9921875,3.044543743133545,0.1214788407087326,184.79075622558597,1.3123786449432373,1012.5127563476562,75.20506286621094,14736.4228515625
2023-03-20 04:50:00,54260.0390625,3.120927333831787,0.1492087095975875,183.96072387695312,1.3501150608062744,1012.476318359375,75.5093994140625,14830.3310546875
2023-03-20 04:55:00,54269.2890625,3.091603755950928,0.1274453848600387,181.23452758789065,1.3660879135131836,1012.4805908203124,75.40882110595703,14621.0341796875
2023-03-20 05:00:00,54379.5390625,3.0550427436828613,0.1524241417646408,177.9010772705078,1.360991597175598,1012.4697875976562,75.87138366699219,14424.693359375
2023-03-20 05:05:00,54407.015625,3.0940651893615723,0.1664300411939621,175.03392028808594,1.4198212623596191,1012.4258422851562,76.03298950195312,14446.9853515625
2023-03-20 05:10:00,54464.3984375,2.9711146354675293,0.1582466810941696,168.89048767089844,1.4293843507766724,1012.4996337890624,76.52458190917969,13684.8447265625
2023-03-20 05:15:00,54476.484375,3.003880023956299,0.1686193197965622,166.42919921875,1.4379959106445312,1012.5420532226562,76.3706283569336,13471.224609375
2023-03-20 05:20:00,54594.21484375,3.029228687286377,0.1639095991849899,162.72274780273438,1.5169007778167725,1012.6052856445312,75.97776794433594,13508.705078125
2023-03-20 05:25:00,54724.76171875,3.0016236305236816,0.167813703417778,163.77671813964844,1.54595685005188,1012.6015014648438,75.97303009033203,13228.3837890625
2023-03-20 05:30:00,54877.28515625,3.059187412261963,0.1775799244642257,168.82098388671875,1.5658409595489502,1012.6406860351562,75.66259765625,13534.2802734375
2023-03-20 05:35:00,54894.73046875,3.053724765777588,0.1895685642957687,167.20416259765625,1.53993558883667,1012.6345825195312,75.92073059082031,13523.36328125
2023-03-20 05:40:00,54898.984375,3.0299201011657715,0.1730589121580124,168.8973388671875,1.529873609542847,1012.7392578125,75.33123779296875,13401.04296875
2023-03-20 05:45:00,54905.89453125,2.9962220191955566,0.1720655411481857,166.97061157226562,1.4993280172348022,1012.7684936523438,75.34663391113281,13504.20703125
2023-03-20 05:50:00,55195.41796875,2.982109546661377,0.1723981350660324,168.8941192626953,1.4545947313308716,1012.7822265625,75.31452941894531,13384.9306640625
