item_complex,Total_volume,Total_Money,Total_Best_Money,Money_percent
"['S5034', 'V9020', 'G1033', 'V9005', 'N6004', 'B1785', 'B1731', 'S5044', 'G1019', 'S5043', 'N6001', 'B1782', 'V9027', 'V9023', 'B1734', 'N6002', 'B1742', 'G1018', 'S5048', 'B1733', 'V9011', 'S5013', 'M1207', 'G1054', 'B1728', 'S5018', 'B1739', 'S5016', 'S5025', 'S5028', 'S5045', 'S5029', 'V9024', 'B1778', 'S5036', 'V9022', 'V9003', 'S5046', 'M1201', 'G1022', 'B1786', 'G1066', 'V9010', 'V9026', 'G1055', 'V9016', 'B1743', 'S5001', 'G1060', 'B1787', 'B1791', 'N6006', 'B1792', 'G1064', 'B1780', 'G1051', 'B1738', 'S5005', 'G1034', 'G1026', 'N6008', 'B1732', 'B1729', 'S5037', 'G1017', 'S5006', 'B1735', 'N6003', 'M1206', 'S5022', 'B1790', 'S5041', 'N6007', 'B1783', 'G1067', 'G1021', 'S5024', 'V9025', 'M1205', 'V9015', 'S5019', 'S5035', 'G1023', 'B1784', 'S5026']","(117479.18, 82336.20999999999, 35142.969999999994)",49142215050.0,63268539440.000015,0.7767243480719742
"['S5031', 'G1020', 'V9017', 'B1789', 'B1779', 'S5020', 'V9019', 'S5014', 'S5030', 'S5009', 'V9001', 'M1208', 'G1056', 'S5038', 'G1028', 'V9002', 'G1063', 'S5032', 'S5012', 'B1736', 'S5050', 'B1793', 'G1050', 'S5039', 'G1031', 'G1058', 'V9004', 'V9014', 'S5027', 'G1057', 'S5049', 'G1062', 'S5002', 'V9021', 'B1794', 'B1727', 'M1203', 'S5042', 'G1024', 'N6005', 'B1741', 'V9006', 'B1776', 'V9008', 'B1740', 'B1777', 'S5007']","(50094.595, 23926.03, 26168.565000000002)",20351319610.0,25895284280.0,0.7859083294836877
"['S5023', 'N6009', 'M1204', 'G1030', 'S5040', 'G1059', 'S5015', 'S5021', 'V9007', 'B1795', 'B1730', 'S5011', 'B1737', 'S5008', 'S5033', 'V9018', 'G1027', 'V9013', 'M1202', 'S5010', 'G1053', 'G1029', 'G1065', 'S5003', 'V9012', 'G1025', 'S5004', 'G1061', 'B1781', 'G1039', 'B1788', 'V9009', 'S5017', 'S5047', 'G1068', 'G1032', 'G1052']","(30225.850000000006, 5994.0, 24231.850000000006)",13601720260.0,16951764880.000002,0.802377826514545
