item_complex,Total_volume,Total_Money,Total_Best_Money,Money_percent
"['S5034', 'N6008', 'B1786', 'B1734', 'N6006', 'N6005', 'B1727', 'M1201', 'B1729', 'G1027', 'V9011', 'V9012', 'G1017', 'G1020', 'M1207', 'G1029', 'B1792', 'M1208', 'V9006', 'V9023', 'B1784', 'B1777', 'G1028', 'M1204', 'S5028', 'S5050', 'S5029', 'B1733', 'G1062', 'G1064', 'B1782', 'B1742', 'V9016', 'B1789', 'B1739', 'M1203', 'V9014', 'S5002', 'M1205', 'N6004', 'S5035', 'B1790', 'S5040', 'B1743', 'V9007', 'M1202', 'B1776', 'S5045', 'V9017', 'S5008', 'V9010', 'N6007', 'N6009', 'V9020', 'G1024', 'S5049', 'B1781', 'B1735', 'G1019', 'V9027', 'S5025', 'S5004', 'V9019', 'S5001', 'S5044', 'S5017', 'S5037', 'V9005', 'S5036', 'V9003', 'V9021', 'B1779', 'S5003', 'B1794', 'B1791', 'B1785', 'S5048', 'S5006', 'B1793', 'G1032', 'N6001', 'S5018', 'G1052', 'S5042', 'G1067', 'V9008', 'S5033']","(128888.31999999999, 92567.59499999999, 36320.725000000006)",55068488240.0,69282771080.00002,0.7948366871240334
"['S5031', 'V9022', 'S5030', 'S5016', 'V9015', 'S5038', 'N6002', 'G1021', 'S5027', 'B1795', 'B1731', 'B1783', 'N6003', 'B1740', 'B1736', 'B1728', 'S5043', 'V9004', 'S5041', 'S5014', 'B1730', 'B1741', 'G1055', 'V9013', 'V9001', 'S5039', 'G1051', 'G1050', 'V9025', 'G1065', 'G1026', 'G1030', 'S5046', 'S5032', 'S5024', 'S5013', 'S5021']","(39214.515, 19688.645000000004, 19525.87)",16270166590.0,20774662840.000004,0.7831735569095761
"['S5023', 'B1738', 'B1787', 'G1025', 'G1060', 'G1033', 'S5005', 'G1058', 'B1778', 'G1022', 'G1061', 'S5047', 'B1788', 'S5019', 'S5015', 'G1023', 'S5009', 'G1018', 'S5010', 'B1732', 'V9002', 'G1066', 'B1737', 'S5007', 'G1057', 'G1039', 'M1206', 'S5022', 'S5026', 'S5020', 'V9026', 'B1780', 'G1053', 'G1056', 'V9009', 'S5012', 'G1063', 'G1031', 'G1054', 'G1068', 'G1034', 'S5011', 'G1059', 'V9024', 'V9018']","(29696.790000000005, 0, 29696.790000000005)",12887922750.0,16058154680.0,0.8025780674570012
