item_complex,Total_volume,Total_Money,Total_Best_Money,Money_percent
"['S5034', 'S5036', 'S5035', 'S5033', 'B1727', 'V9023', 'V9011', 'B1785', 'B1783', 'V9008', 'B1784', 'N6001', 'S5009', 'S5018', 'M1208', 'B1733', 'B1729', 'S5029', 'G1023', 'G1022', 'B1782', 'S5037', 'V9003', 'S5044', 'S5024', 'B1789', 'B1741', 'S5025', 'G1018', 'V9015', 'G1058', 'S5042', 'G1055', 'M1201', 'S5019', 'S5030', 'B1732', 'N6009', 'V9021', 'V9010', 'S5045', 'G1033', 'S5004', 'S5012', 'G1052', 'B1778', 'B1776', 'V9001', 'S5032', 'S5048', 'B1743', 'S5041', 'G1027', 'V9020', 'V9022', 'S5008', 'V9006', 'B1739', 'B1786', 'S5026', 'V9018', 'B1730', 'S5040', 'G1053', 'M1205', 'V9002', 'V9025', 'B1780', 'B1791', 'N6006', 'V9027', 'V9005', 'B1736', 'G1065', 'S5017', 'S5010', 'G1063', 'G1029', 'N6002', 'S5003', 'N6007', 'V9009', 'B1792', 'N6008', 'G1031', 'G1032', 'V9004', 'G1056', 'V9019', 'B1787', 'B1728', 'B1781', 'G1017', 'V9016', 'G1057', 'N6004', 'G1066', 'M1203', 'B1779', 'M1207', 'S5020', 'B1731']","(139943.38, 96245.1, 43698.28)",59647808560.0,74936963639.99998,0.7959731174397502
"['S5031', 'S5021', 'B1735', 'G1028', 'V9012', 'G1061', 'S5050', 'S5001', 'S5006', 'B1794', 'G1064', 'G1025', 'S5002', 'S5022', 'S5028', 'S5011', 'B1742', 'V9014', 'N6005', 'G1034', 'S5049', 'B1777', 'G1054', 'G1060', 'V9017', 'B1790', 'M1204', 'B1738', 'N6003', 'M1206', 'B1740']","(33204.595, 16011.14, 17193.454999999998)",14049322960.0,17625768160.0,0.7970899669430351
"['S5023', 'B1734', 'S5043', 'M1202', 'G1024', 'V9007', 'V9026', 'V9024', 'G1039', 'S5027', 'S5016', 'S5014', 'V9013', 'B1795', 'S5046', 'S5013', 'S5007', 'G1067', 'G1059', 'G1051', 'G1030', 'S5047', 'B1788', 'G1021', 'S5005', 'G1020', 'G1019', 'B1793', 'S5039', 'G1050', 'S5015', 'S5038', 'G1062', 'G1026', 'G1068', 'B1737']","(24651.65, 0, 24651.65)",10286727390.0,13552856799.999998,0.7590080483990653
