item_complex,Total_volume,Total_Money,Total_Best_Money,Money_percent
"['S5034', 'M1204', 'V9020', 'B1790', 'S5033', 'G1022', 'M1206', 'B1742', 'S5029', 'V9008', 'B1783', 'V9003', 'V9021', 'V9004', 'B1786', 'S5043', 'G1018', 'G1051', 'M1203', 'B1727', 'S5044', 'G1033', 'N6009', 'S5050', 'B1794', 'G1024', 'S5045', 'N6004', 'S5030', 'S5025', 'B1728', 'G1039', 'G1030', 'B1785', 'V9001', 'N6008', 'B1735', 'V9006', 'M1208', 'N6007', 'G1027', 'G1057', 'V9026', 'V9005', 'S5041', 'B1743', 'S5010', 'S5013', 'S5036', 'G1021', 'G1066', 'M1202', 'S5024', 'S5018', 'V9002', 'S5049', 'N6006', 'G1063', 'G1026', 'V9023', 'G1017', 'S5046', 'N6002', 'N6001', 'V9017', 'G1031', 'V9009', 'B1740', 'V9024', 'S5037', 'B1789', 'S5048', 'V9010', 'G1060', 'G1055', 'S5011', 'V9022', 'G1023', 'B1733', 'V9013', 'G1025', 'M1207', 'B1795', 'B1784', 'B1736', 'S5008', 'S5022', 'G1032', 'V9011', 'G1061', 'G1034', 'B1731', 'G1019', 'G1062', 'N6005', 'B1780', 'V9015', 'B1778', 'S5014', 'B1776', 'B1729', 'V9018', 'G1029', 'B1777', 'B1793', 'S5001']","(144842.115, 95624.73, 49217.385)",61552514240.0,76591873039.99998,0.8036428905173045
"['S5031', 'S5035', 'N6003', 'B1792', 'G1052', 'B1782', 'S5015', 'M1205', 'S5020', 'G1065', 'S5017', 'S5004', 'S5040', 'S5047', 'B1787', 'V9016', 'S5026', 'S5002', 'V9027', 'S5006', 'S5003', 'S5012', 'B1791', 'S5019', 'B1734', 'G1068', 'V9014', 'G1053', 'B1788', 'B1732', 'B1737', 'B1730', 'B1741', 'B1739', 'S5027', 'S5032', 'B1738']","(31198.310000000005, 13634.51, 17563.800000000003)",13532997760.0,17550982840.0,0.7710678019214564
"['S5023', 'M1201', 'V9025', 'S5016', 'B1779', 'S5021', 'S5028', 'G1028', 'G1067', 'V9007', 'G1056', 'B1781', 'S5039', 'G1064', 'S5042', 'G1020', 'S5007', 'V9012', 'G1058', 'S5009', 'S5005', 'S5038', 'G1050', 'G1054', 'G1059', 'V9019']","(21759.200000000004, 2997.0, 18762.200000000004)",8993420960.0,11972732720.0,0.7511585842868461
