item_complex,Total_volume,Total_Money,Total_Best_Money,Money_percent
"['S5034', 'G1053', 'V9023', 'S5045', 'N6003', 'V9021', 'M1203', 'V9020', 'B1784', 'N6004', 'G1017', 'N6008', 'S5010', 'B1735', 'B1727', 'M1205', 'B1794', 'S5029', 'B1729', 'B1741', 'G1064', 'B1776', 'S5013', 'S5038', 'B1731', 'S5008', 'V9003', 'G1022', 'N6007', 'S5043', 'B1791', 'V9008', 'S5036', 'B1734', 'S5030', 'B1743', 'B1736', 'G1033', 'G1030', 'S5015', 'B1783', 'G1066', 'N6002', 'S5005', 'S5001', 'V9004', 'V9005', 'S5048', 'S5002', 'S5004', 'V9018', 'V9017', 'S5020', 'S5014', 'S5025', 'G1019', 'B1792', 'S5044', 'G1039', 'S5003', 'N6006', 'N6009', 'G1018', 'B1785', 'G1057', 'S5019', 'G1050', 'V9026', 'V9027', 'V9025', 'V9013', 'S5007', 'S5039', 'G1028', 'S5026', 'S5017', 'V9007', 'V9002', 'S5033', 'B1739', 'G1029', 'S5037', 'S5024', 'G1060', 'V9009', 'N6001', 'G1058', 'V9011', 'S5041', 'B1782', 'S5050', 'G1026', 'S5006', 'M1202', 'S5035', 'S5028', 'M1201', 'B1778']","(132664.395, 91776.51, 40887.885)"," 56,489,943,580 "," 71,036,771,720 ",0.795221154
"['S5031', 'G1025', 'B1787', 'B1786', 'V9010', 'V9006', 'G1067', 'N6005', 'B1728', 'G1056', 'B1737', 'S5046', 'S5018', 'B1793', 'G1051', 'G1034', 'G1021', 'S5011', 'V9014', 'M1206', 'V9019', 'B1777', 'B1730', 'S5027', 'B1733', 'S5016', 'B1781', 'S5009', 'B1779', 'G1061', 'B1740', 'M1208', 'G1020', 'G1052', 'B1788', 'V9024', 'G1024', 'M1204', 'V9022', 'S5047', 'S5042', 'S5032', 'S5021', 'M1207', 'B1789']","(44384.100000000006, 20479.73, 23904.370000000003)"," 19,031,002,700 "," 23,629,236,840 ",0.80540065
"['S5023', 'S5040', 'S5049', 'G1055', 'G1063', 'B1780', 'G1023', 'G1032', 'B1790', 'G1062', 'V9016', 'V9015', 'B1732', 'V9012', 'B1795', 'G1068', 'S5022', 'G1027', 'G1065', 'G1054', 'S5012', 'G1059', 'V9001', 'B1738', 'G1031', 'B1742']","(20751.130000000005, 0, 20751.130000000005)"," 9,053,506,460 "," 11,449,580,040 ",0.790728256
,," 84,574,452,740 "," 106,115,588,600 ",
