item_complex,Total_volume,Total_Money,Total_Best_Money,Money_percent
"['S5034', 'V9008', 'G1023', 'B1783', 'B1788', 'M1205', 'S5024', 'G1055', 'S5018', 'V9003', 'M1208', 'V9004', 'B1782', 'M1203', 'V9021', 'G1033', 'S5011', 'B1736', 'B1790', 'B1784', 'B1785', 'V9013', 'S5050', 'G1027', 'N6003', 'B1781', 'S5014', 'S5039', 'V9023', 'G1054', 'G1063', 'S5045', 'B1793', 'S5004', 'S5041', 'S5009', 'G1026', 'V9015', 'G1029', 'N6007', 'S5035', 'G1021', 'G1022', 'V9005', 'B1778', 'B1776', 'V9010', 'V9006', 'M1201', 'G1066', 'B1779', 'S5016', 'S5019', 'G1057', 'V9019', 'M1207', 'S5043', 'B1730', 'N6001', 'B1727', 'S5037', 'B1729', 'M1202', 'B1794', 'B1792', 'V9016', 'N6002', 'V9007', 'S5021', 'B1777', 'S5008', 'G1018', 'G1062', 'B1735', 'S5042', 'S5015', 'B1740', 'S5025', 'N6006', 'G1034', 'N6005', 'G1053']","(114516.43, 82294.68499999998, 32221.745000000006)",48725197890.0,60992942239.99999,0.7988661655027581
"['S5031', 'S5030', 'V9014', 'G1059', 'V9009', 'M1204', 'V9026', 'G1051', 'G1064', 'G1020', 'B1787', 'V9012', 'S5005', 'G1050', 'B1743', 'S5046', 'S5003', 'S5006', 'V9020', 'S5001', 'B1733', 'S5033', 'S5036', 'S5040', 'S5022', 'S5038', 'G1058', 'S5048', 'N6008', 'S5032', 'G1030', 'B1786', 'G1056', 'V9025', 'G1060', 'S5047', 'S5017', 'N6009', 'G1039', 'G1019', 'S5044', 'S5010', 'M1206', 'G1017', 'G1052', 'G1065', 'B1728', 'S5029', 'N6004', 'G1032']","(55359.64000000001, 27004.68, 28354.960000000006)",23668800950.0,30178703320.0,0.7842882014852585
"['S5023', 'V9022', 'B1789', 'B1731', 'B1741', 'V9011', 'B1742', 'V9027', 'G1061', 'S5028', 'G1031', 'S5007', 'S5049', 'G1025', 'G1028', 'B1738', 'S5027', 'B1732', 'V9017', 'V9001', 'B1795', 'B1739', 'B1737', 'S5020', 'G1024', 'S5002', 'V9018', 'B1791', 'G1067', 'S5012', 'V9024', 'V9002', 'S5026', 'B1780', 'G1068', 'S5013', 'B1734']","(27923.554999999997, 2956.875, 24966.679999999997)",11820359160.0,14943943040.000002,0.7909799393882058
