item_complex,Total_volume,Total_Money,Total_Best_Money,Money_percent
"['S5034', 'G1061', 'G1029', 'S5047', 'B1784', 'B1729', 'V9008', 'G1068', 'S5009', 'G1065', 'G1067', 'S5046', 'V9022', 'G1055', 'B1736', 'B1776', 'S5019', 'B1728', 'B1731', 'S5006', 'S5044', 'V9014', 'S5048', 'N6002', 'S5045', 'M1206', 'B1743', 'S5001', 'V9016', 'V9011', 'G1039', 'V9019', 'S5025', 'M1201', 'S5043', 'G1022', 'V9025', 'V9023', 'N6005', 'B1785', 'B1780', 'M1207', 'G1060', 'G1028', 'G1020', 'B1782', 'G1054', 'V9001', 'B1730', 'V9013', 'G1026', 'S5018', 'G1017', 'G1064', 'S5010', 'G1063', 'B1735', 'G1059', 'S5039', 'S5008', 'G1025', 'G1031', 'M1202', 'S5007', 'N6007', 'B1732', 'S5028', 'S5015', 'B1739', 'B1793', 'G1027', 'S5032', 'B1733', 'B1790', 'S5036', 'S5024', 'V9004', 'V9003', 'V9020', 'S5030', 'G1030', 'G1033', 'B1792', 'V9024', 'B1795', 'G1019', 'B1738', 'B1791', 'S5002', 'S5033', 'B1740', 'G1021', 'S5035', 'S5041', 'S5003', 'V9010', 'N6003', 'S5016', 'G1050', 'N6004', 'N6008', 'V9006', 'B1787']","(130319.975, 79348.94000000002, 50971.03499999998)",55274913070.0,69476775199.99998,0.79558835180364
"['S5031', 'G1066', 'V9017', 'G1018', 'G1032', 'G1052', 'V9005', 'G1023', 'V9012', 'S5017', 'S5037', 'S5021', 'S5050', 'V9027', 'S5049', 'M1208', 'B1734', 'G1056', 'B1783', 'S5012', 'G1062', 'M1203', 'S5011', 'S5040', 'S5038', 'G1024', 'B1789', 'V9015', 'S5042', 'S5014', 'V9007', 'S5029', 'S5026', 'B1737', 'B1777', 'S5005', 'V9009', 'B1741', 'S5027', 'S5022', 'B1781', 'B1786', 'V9026', 'S5020']","(39479.67, 14213.76, 25265.91)",17173537430.0,21373878200.0,0.8034825158683649
"['S5023', 'M1204', 'G1058', 'N6001', 'G1053', 'G1057', 'V9018', 'B1778', 'V9021', 'B1727', 'S5013', 'B1779', 'B1794', 'N6006', 'N6009', 'G1034', 'M1205', 'B1742', 'V9002', 'S5004', 'G1051', 'B1788']","(27999.980000000003, 18693.54, 9306.44)",12455734770.0,15264935200.0,0.8159703665168523
