item_complex,Total_volume,Total_Money,Total_Best_Money,Money_percent
"['S5034', 'G1062', 'S5019', 'B1735', 'S5036', 'M1201', 'V9004', 'G1019', 'S5024', 'B1779', 'V9005', 'G1055', 'N6007', 'G1020', 'G1026', 'M1204', 'G1017', 'S5017', 'B1739', 'S5013', 'V9003', 'S5016', 'B1734', 'B1790', 'G1023', 'N6004', 'V9024', 'S5008', 'N6006', 'G1053', 'M1203', 'S5035', 'G1022', 'N6003', 'V9020', 'S5032', 'G1032', 'B1783', 'V9023', 'G1052', 'S5018', 'M1202', 'G1030', 'N6009', 'B1785', 'G1031', 'B1793', 'B1794', 'V9027', 'B1782', 'G1033', 'G1065', 'V9013', 'V9017', 'V9006', 'V9022', 'G1057', 'S5022', 'S5012', 'V9026', 'B1781', 'S5009', 'N6008', 'S5044', 'B1731', 'V9014', 'B1776', 'S5007', 'B1742', 'M1208', 'V9009', 'G1054', 'S5050', 'B1777', 'S5038', 'S5010', 'B1728', 'V9025', 'B1729', 'G1056', 'S5039', 'B1787', 'B1795', 'V9016', 'B1733', 'B1737', 'V9008', 'V9019', 'G1024', 'G1058', 'S5005', 'G1027', 'S5043', 'S5025', 'B1727', 'M1205', 'S5037', 'S5015', 'V9001', 'B1743', 'M1207']","(136631.40500000003, 89818.29000000001, 46813.11500000001)",57250024200.0,73441723120.0,0.7795299697211134
"['S5031', 'S5042', 'G1025', 'B1786', 'V9010', 'B1740', 'S5033', 'S5047', 'B1741', 'B1788', 'G1028', 'V9012', 'G1059', 'B1730', 'S5041', 'M1206', 'G1067', 'B1784', 'B1792', 'G1050', 'N6001', 'S5006', 'S5004', 'S5048', 'B1789', 'G1063', 'S5014', 'G1064', 'S5027', 'S5020', 'G1029', 'V9011', 'G1068', 'B1732', 'G1039', 'S5001', 'V9002', 'V9018', 'N6005', 'G1066', 'N6002', 'G1034', 'S5029', 'G1051', 'G1018']","(40391.61, 15394.55, 24997.060000000005)",17295598189.999996,21470606760.0,0.8055477138271614
"['S5023', 'S5045', 'B1736', 'G1021', 'V9021', 'G1061', 'S5046', 'V9015', 'V9007', 'S5011', 'S5003', 'S5030', 'G1060', 'S5021', 'S5028', 'B1738', 'S5002', 'B1780', 'B1778', 'S5026', 'S5040', 'B1791', 'S5049']","(20776.61, 7043.4, 13733.21)",8494038890.000001,11203258719.999998,0.7581757328192811
