item_complex,Total_volume,Total_Money,Total_Best_Money,Money_percent
"['S5034', 'M1203', 'N6007', 'S5014', 'B1736', 'V9010', 'G1063', 'M1201', 'G1033', 'G1055', 'N6008', 'B1791', 'B1785', 'N6009', 'S5043', 'S5021', 'G1018', 'V9018', 'S5045', 'S5011', 'G1020', 'S5035', 'G1031', 'G1028', 'S5024', 'B1780', 'S5022', 'G1067', 'S5003', 'S5047', 'N6004', 'B1735', 'S5039', 'B1790', 'V9020', 'M1204', 'S5002', 'N6006', 'B1727', 'S5015', 'S5017', 'S5018', 'M1205', 'G1053', 'B1783', 'B1784', 'V9003', 'S5044', 'G1059', 'V9009', 'G1051', 'V9025', 'S5042', 'V9024', 'B1782', 'V9023', 'B1777', 'B1781', 'G1068', 'S5049', 'V9015', 'B1731', 'N6003', 'S5033', 'G1057', 'V9019', 'S5038', 'N6005', 'V9006', 'B1732', 'G1024', 'G1019', 'G1021', 'N6001', 'V9007', 'B1729', 'M1202', 'B1789', 'V9011', 'V9016', 'G1029', 'B1778', 'G1058', 'S5008', 'S5040', 'V9017', 'V9005', 'B1788', 'V9014', 'S5012', 'S5041', 'B1733', 'V9027', 'G1060', 'B1728', 'G1062', 'S5050', 'B1776', 'S5032', 'M1208', 'G1027', 'S5013', 'B1737', 'V9008', 'G1054', 'G1056', 'G1022', 'G1052', 'M1206']","(146116.23500000002, 91453.66, 54662.575000000004)",62873235190.0,78016460400.0,0.805897048746395
"['S5031', 'S5036', 'B1742', 'S5005', 'G1061', 'V9002', 'S5010', 'G1017', 'B1792', 'V9021', 'G1039', 'G1032', 'B1734', 'S5025', 'N6002', 'G1064', 'B1794', 'V9004', 'B1738', 'S5030', 'S5027', 'B1730', 'G1034', 'G1030', 'B1795', 'V9001', 'S5048', 'G1023', 'B1739', 'S5046', 'B1786', 'B1741', 'V9013', 'S5019']","(31395.005000000005, 15586.58, 15808.425000000003)",11752040380.0,16884236880.000002,0.6960362178950903
"['S5023', 'B1787', 'S5001', 'V9026', 'V9022', 'S5029', 'G1026', 'B1740', 'B1743', 'S5037', 'S5006', 'M1207', 'G1025', 'S5020', 'B1793', 'G1065', 'V9012', 'G1066', 'B1779', 'S5016', 'S5026', 'G1050', 'S5004', 'S5007', 'S5028', 'S5009']","(20288.385000000002, 5216.0, 15072.385000000002)",8448296580.000002,11214891320.0,0.7533106063126791
