item_complex,Total_volume,Total_Money,Total_Best_Money,Money_percent
"['S5034', 'S5036', 'N6001', 'S5018', 'S5044', 'M1202', 'S5029', 'G1017', 'G1061', 'S5004', 'V9002', 'S5024', 'G1030', 'N6003', 'G1022', 'V9009', 'V9016', 'B1793', 'B1730', 'S5041', 'B1789', 'G1032', 'B1728', 'S5043', 'B1777', 'N6008', 'S5010', 'M1207', 'G1058', 'M1208', 'S5001', 'N6004', 'B1733', 'M1205', 'G1024', 'V9021', 'S5035', 'V9006', 'G1068', 'S5049', 'G1018', 'M1201', 'S5014', 'V9005', 'B1743', 'V9008', 'G1063', 'V9014', 'B1740', 'G1059', 'B1794', 'G1060', 'M1204', 'S5020', 'V9025', 'S5026', 'G1054', 'B1785', 'S5037', 'S5050', 'S5015', 'B1732', 'V9004', 'B1727', 'G1053', 'S5047', 'B1734', 'G1019', 'G1021', 'G1029', 'V9012', 'G1025', 'S5046', 'G1026', 'G1056', 'G1027', 'S5016', 'V9011', 'M1203', 'V9003', 'S5005', 'G1033', 'S5007', 'G1051', 'S5045', 'N6007', 'B1735', 'B1782']","(116259.01000000001, 75971.79, 40287.22000000001)",48919761610," 62,824,496,120 ",0.778673362
"['S5031', 'B1731', 'G1057', 'V9018', 'V9015', 'G1062', 'V9010', 'S5022', 'V9023', 'G1064', 'S5006', 'S5027', 'V9020', 'B1776', 'S5008', 'G1055', 'S5033', 'G1028', 'B1791', 'V9026', 'B1787', 'S5032', 'S5040', 'V9027', 'V9013', 'N6005', 'V9022', 'S5042', 'S5025', 'B1737', 'B1792', 'S5011', 'B1779', 'S5003', 'B1738', 'G1031', 'B1781', 'S5028', 'G1039', 'G1050', 'B1741', 'S5019', 'B1778', 'G1066', 'B1786', 'B1780', 'B1788']","(43650.10000000001, 17914.705, 25735.39500000001)",18830658770," 22,998,324,800 ",0.81878393
"['S5023', 'V9024', 'B1729', 'B1784', 'S5002', 'G1020', 'N6002', 'B1736', 'G1065', 'B1739', 'S5039', 'G1034', 'B1790', 'S5021', 'S5017', 'S5048', 'V9007', 'S5009', 'S5013', 'V9019', 'N6006', 'B1783', 'S5012', 'S5038', 'G1023', 'N6009', 'B1742', 'B1795', 'S5030', 'V9001', 'V9017', 'G1067', 'G1052', 'M1206']","(37890.515, 18369.745, 19520.77)",16316494250," 20,292,767,680 ",0.804054652
,," 84,066,914,630 "," 106,115,588,600 ",
