item_complex,Total_volume,Total_Money,Total_Best_Money,Money_percent
"['S5034', 'V9012', 'S5014', 'S5041', 'N6009', 'N6004', 'S5037', 'G1065', 'B1786', 'S5024', 'G1053', 'V9024', 'G1022', 'B1792', 'S5013', 'S5002', 'B1732', 'V9019', 'G1026', 'V9003', 'S5022', 'S5036', 'V9014', 'V9017', 'N6008', 'B1739', 'S5008', 'M1207', 'S5019', 'V9020', 'V9010', 'V9022', 'B1730', 'G1039', 'V9001', 'S5030', 'B1782', 'G1018', 'S5003', 'M1208', 'N6006', 'N6007', 'B1778', 'G1055', 'B1783', 'V9018', 'M1201', 'S5020', 'S5029', 'B1789', 'G1031', 'M1206', 'B1736', 'S5006', 'V9011', 'B1728', 'S5025', 'B1785', 'B1737', 'S5016', 'G1051', 'B1743', 'S5035', 'B1790', 'G1064', 'S5033', 'G1060', 'M1204', 'G1033', 'S5046', 'S5045', 'G1052', 'S5027', 'S5047', 'B1727', 'B1735', 'B1733', 'V9008', 'G1029', 'B1734', 'G1066', 'B1742', 'S5040', 'B1793', 'S5044', 'B1731', 'S5018', 'B1795', 'S5012']","(120440.06000000001, 78458.365, 41981.69500000001)",50440937450.0,64948680440.0,0.7766275944065971
"['S5031', 'M1203', 'V9026', 'G1025', 'S5043', 'M1202', 'M1205', 'B1794', 'N6003', 'S5011', 'G1061', 'V9027', 'V9021', 'G1032', 'G1034', 'G1017', 'B1780', 'V9006', 'S5009', 'B1779', 'V9005', 'V9004', 'G1027', 'S5026', 'S5038', 'G1054', 'S5028', 'S5039', 'S5049', 'N6001', 'S5021', 'G1058', 'G1028', 'S5032', 'V9007', 'B1740', 'S5010', 'B1738', 'G1059', 'G1030', 'G1050', 'S5042', 'G1021', 'G1062', 'G1067', 'B1776', 'B1741', 'S5005', 'V9025', 'G1057']","(47222.380000000005, 22008.670000000002, 25213.710000000006)",20727107530.0,24922072040.0,0.8316767360568147
"['S5023', 'N6002', 'N6005', 'V9016', 'B1781', 'V9023', 'S5001', 'S5017', 'G1023', 'B1729', 'B1777', 'B1791', 'V9013', 'B1784', 'S5007', 'V9002', 'G1063', 'S5050', 'S5015', 'B1787', 'G1068', 'S5048', 'V9009', 'S5004', 'G1019', 'B1788', 'G1024', 'G1020', 'V9015', 'G1056']","(30137.185000000005, 11789.205, 18347.980000000003)",12871585640.0,16244836120.0,0.7923493684342567
